"Equipo";"Comuna";"Estadio";"Latitud";"Longitud"
"Deportes Iquique";"Iquique";"Tierra de Campeones";"-20.242413";"-70.132937"
"Deportes Antofagasta";"Antofagasta";"Regional Calvo y Bascuñán";"-23.670139";"-70.404583"
"Cobresal";"El Salvador";"El Cobre";"-26.251944";"-69.628611"
"Coquimbo Unido";"Coquimbo";"Francisco Sánchez Rumoroso";"-29.965278";"-71.338333"
"Deportes La Serena";"La Serena";"La Portada";"-29.911111";"-71.251944"
"Everton";"Viña del Mar";"Sausalito";"-33.014444";"-71.535000"
"Santiago Wanderers";"Valparaíso";"Elías Figueroa Brander";"-33.022278";"-71.640000"
"Unión La Calera";"La Calera";"Municipal Nicolás Chahuán Nazar";"-32.784167";"-71.199444"
"Audax Italiano";"La Florida";"Bicentenario de La Florida";"-33.540833";"-70.578333"
"Colo-Colo";"Macul";"'El Glorioso' Monumental David Arellano";"-33.506611";"-70.605944"
"Palestino";"La Cisterna";"Municipal de La Cisterna";"-33.520833";"-70.672778"
"Unión Española";"Independencia";"Santa Laura";"-33.404553";"-70.659017"
"Universidad Católica";"Las Condes";"San Carlos de Apoquindo";"-33.395944";"-70.500656"
"Universidad de Chile";"Ñuñoa";"Estadio Nacional";"-33.464522";"-70.610586"
"O'Higgins";"Rancagua";"El Teniente";"-34.177778";"-70.737500"
"Curicó Unido";"Curicó";"La Granja";"-34.974356";"-71.230707"
"Huachipato";"Talcahuano";"Huachipato-CAP Acero";"-36.755556";"-73.107222"
"Universidad de Concepción";"Concepción";"Municipal Alcaldesa Ester Roa Rebolledo";"-36.815278";"-73.023333"
